S220071,68,B,24.42,26,168,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220072,74,B,25.62,36,269,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220073,75,B,25.62,36,265,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220074,76,B,25.62,36,265,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220075,74,B,24.42,26,173,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220076,17,B,41.3,26,67,,B22-0836,slag,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220077,,B,69.7,16,22,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220078,15,B,41.3,2,67,,B22-0838,charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220079,35,B,69.7,16,23,,,tabun frags,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220080,66,B,25.61,43,131,,,seed,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220081,69,B,24.42,42,47,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220082,20,B,41.3,26,68,,,phytoliths,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220083,27,B,69.7,16,27,,,glass,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220084,46,B,69.7,16,27,,,charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220085,19,B,41.3,26,68,,B22-0897,seed,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220086,23,B,41.3,26,68,,B22-0938,burnt bone,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220087,28,B,41.3,26,69,,B22-0993,mudbrick,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220088,118,B,24.42,35,187,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220089,85,B,24.42,32,177,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
