A220088,11,B,25.62,1,,,,Upper Grinding Stone,probable,,,,,Loaf-Shaped,Slightly,Basalt,10YR4/1,Partial,100,mod,,1712.00,16.00,12.03,7.32,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220089,55,B,24.42,26,162,,,hand grinder,possible,,,,,ovoid,Slightly,Basalt,10YR7/1,Partial,50,crude,,97.48,5.27,4.17,3.26,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220090,14,B,25.62,50,239,,,upper grinding stone,possible,,,,,rectangular,Nearly,Basalt,5YR6/1,Partial,20,crude,,618.00,8.73,6.49,6.34,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220091,28,B,25.61,5,113,,,UD,,,,,,rectangular,Slightly,Basalt,10YR3/2,Partial,,fine,,173.00,6.98,6.92,1.89,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220092,16,B,42.21,39,121,,B22.0607,hand grinder,probable,,,,,circular,Nearly,Basalt,10YR7/1,Complete,100,,,1002.00,9.41,8.05,7.05,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220093,22,B,24.42,26,145,,,whetstone,certain,,,,,triangular,rounded,stone,5YR5/2,Complete,100%,mod,,233.00,10.37,5.41,2.65,,,whole,,DoA Karak,,,,,,,,,,,,,,,,,,
A220094,10,B,25.62,1,,,,mortar,certain,,,,,ovoid,Slightly,Basalt,Gley 1 4/N,Partial,25%,mod,,9071.85,30.00,30.00,17.00,,,broken,1,DoA Karak,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220095,56,B,25.61,1,125,,,Jar Stopper,possible,,,,,circullar,Slightly,Ceramic,5YR6/4,Complete,100%,crude,,28.61,5.23,4.67,0.99,4.67,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220096,20,B,69.7,7,15,,,nail,certain,,,,,linear,Nearly,metal,10R4/1,Partial,90%,mod,,2.27,3.66,1.79,0.61,,,broken,1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220097,2,B,25.61,4,112,,,Bead,certain,,,,,lentoid,Nearly,glass,10R2.5/2,Partial,70%,,,0.66,1.29,1.16,1.01,1.29,,broken,1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220098,12,B,55.5,0,0,,B22.0579,Bangle,possible,,,,,crescent,Slightly,glass,Gley 1 2.5/N,Partial,,,,2.98,3.24,0.81,0.94,,,broken,1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220099,29,B,69.7,7,18,,,UD,,,,,,lunate,Exactly,glass,Gley 2 7/5B,,,,,0.29,1.51,0.55,0.25,,,"broken,Partialile",1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220100,10,B,55.6,0,0,,B22.0577,Bangle,possible,,,,,lunate,Nearly,glass,Gley 2 6/10BG,Partial,,,,0.91,2.33,0.51,0.41,,,broken,1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220101,21,B,69.7,7,15,,B22.0614,Bangle,possible,,,,,lunte,Nearly,glass,Gley 1 2.5/N,Partial,,,,4.38,4.16,0.75,0.71,,,broken,1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220102,20,B,24.42,26,143,,,UD,,,,,,cylindricalNearly,,glass,Gley 2 3/10BG,Partial,,,,1.11,1.56,0.66,0.64,,,broken,1,CNEA,Also: 10R 4/6,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220103,5,B,70.6,0,0,,B22.0426,Bangle,possible,,,,,Circular,Nearly,glass,Gley 2 4/10B,Partial,,,,4.38,3.15,0.91,0.82,,,broken,1,CNEA,Also: Gley 2 8/10B,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220104,49,B,25.62,36,264,,,Weight,probable,,,,,donut,Nearly,Basalt,Gley 1 2.5/10Y,Partial,30%,mod,,868.00,15.58,5.54,5.55,,,broken,1,CNEA,,,,,,29-Jul-22,Roma,,,,,,,,,,,
A220105,22,B,69.7,7,15,,B22.0615,Bangle,uncertain,,,,,rectangular,,glass,10YR4/1,Partial,,,,0.84,1.69,0.64,0.41,,,broken,1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220106,55,B,25.61,19,127,,,UD,,,,,,rectangular,Nearly,iron,Gley 2 4/5PB,Partial,,very crude,,7.85,3.76,1.42,0.82,,,"broken,Partialile",1,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220107,40,B,24.42,24,153,,,Bangle,possible,,,,,rectangular,Slightly,glass,Gley 1 2.5/N,Partial,,,,2.13,2.92,0.73,0.53,,,broken,1,CNEA,"Also: 5Y7/8, 2.5YR6/8, green",,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220108,66,B,25.62,52,261,,,Jar Stopper,possible,,,,,circular,Nearly,Ceramic,5YR6/6,Complete,100%,crude,,7.63,2.77,2.68,0.80,2.77,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220109,2,B,25.61,19,127,,,Jar Stopper,possible,,,,,circular,Slightly,Ceramic,10YR7/4,Partial,80%,very crude,,38.30,4.95,4.43,1.66,4.95,,broken,1,CNEA,Also: 10YR5/1,,,,,10-Jul-22,Roma ,,,,,,,,,,,
A220110,65,B,25.62,36,367,,,UD,,,,,,circular,Exactly,Ceramic,5YR5/3,Complete,100%,mod,,6.94,2.51,2.33,1.05,2.51,,whole,1,CNEA,,,,,,26-Jul-22,Roma ,,,,,,,,,,,
A220111,44,B,25.62,35,253,,,Jar Stopper,possible,,,,,circular,Slightly,Ceramic,5YR7/6,Complete,100%,crude,,33.51,4.55,4.11,1.57,4.55,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220112,60,B,25.61,19,130,,,Jar Stopper,probable,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
A220113,5,B,42.21,33,103,,,Jar Stopper,uncertain,,,,,Circular,Slightly,Ceramic,5YR5/3,Complete,100,very crude,,54.13,6.56,6.07,1.11,,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220114,31,B,24.42,26,143,,,Jar Stopper,possible,,,,,circular,Nearly,Ceramic,7.5YR7/4,Complete,100%,crude,,10.61,3.12,2.74,1.11,3.12,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220115,70,B,24.42,26,163,,,Jar Stopper,possible,,,,,circular,Slightly,Ceramic,2.5YR6/6,Complete,100%,very crude,,20.20,4.08,4.06,1.14,4.08,,whole,1,CNEA,,,,,,,,,,,,,,,,,,
A220116,33,B,69.7,16,21,,,UD,,,,,,,,glass,Gley 1 8/N,Partial,,fine,,0.52,2.83,1.49,0.11,,,broken,2,CNEA,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220117,6,B,70.6,0,0,,B22.0427,Bangle,possible,,,,,circular,Slightly,glass,Gley 2 3/5B,Partial,10,,,1.95,3.20,0.61,0.55,,,broken,1,CNEA,"Also: 10R 4/6, Gley 1 8/N",,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220118,62,B,24.42,26,168,,,hand grinder,probable,,,,,Triangular,Slightly,Basalt,Gley 1 S/N,Complete,90,mod,,115.00,5.02,4.02,3.87,,,broken,1,DoA Karak,,,,,,24-Jul-22,Roma,,,,,,,,,,,
A220119,14,B,26.84,0,0,,B22.0727,Bangle,possible,,,,,circular,Nearly,glass,Gley 2 2.5/10G,Partial,,,,5.43,5.57,0.73,0.75,,,broken,1,CNEA,Also: 10R3/6,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220120,23,B,25.62,51,242,,,grinding stone,possible,,,,,rectanglar,Slightly,Basalt,5YR6/1,Partial,,Crude,,667.00,11.01,7.20,5.20,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220121,34,B,69.7,16,22,,,Metal,certain,,,,,rectanglar,Exactly,metal,,UD,,mod,,3.08,3.31,1.30,0.12,,,UD,,CNEA,,,,,,18-Jul-22,Roma,,,,,,,,,,,
A220122,37,B,25.62,36,259,,,Upper Grinding Stone,probable,,,,,Loaf-Shaped,Slightly,Basalt,10R5/1,Partial,30,Crude,,2037.00,11.11,10.20,9.49,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
A220123,59,B,25.61,19,130,,,Whetstone,certain,,,,,rectangular,Nearly,Sandstone,5YR7/3,Partial,80%,mod,,225.00,8.50,4.90,3.30,,,broken,1,DoA Karak,,,,,,,,,,,,,,,,,,
A220124,65,B,24.42,20,170,,,grinding stone,possible,,,,,Spherical,Nearly,Basalt,5YR7/1,Partial,60,Crude,,825.00,9.88,8.20,7.10,,,,,DoA Karak,,,,,,,,,,,,,,,,,,
